Character,Gender,Alive?,Title,Forename,Surname,Birth name,Alias,Screentime
"Garth, Greyfeather",male,dead,Civilian,Garth,unknown,unknown,Greyfeather,1
"Oss, Orphan Oss",male,dead,Civilian,Oss,unknown,unknown,Orphan Oss,1
Dyah,female,alive,Civilian,Dyah,unknown,unknown,none,1
Ferny,female,alive,Civilian,Ferny,unknown,unknown,none,1
Lister,male,dead,Civilian,Lister,unknown,unknown,none,1
Lennocks,male,dead,Civilian,Lennocks,unknown,unknown,none,1
Goodman Beck,male,dead,Goodman,Beck,unknown,unknown,none,1
Mudge,male,dead,Civilian,Mudge,unknown,unknown,none,1
Merriman,male,dead,Civilian,Merriman,unknown,unknown,none,1
Ser Andrey Charlton,male,dead,Ser,Andrey,Charlton,unknown,none,1
Lucas Roote,male,dead,Civilian,Lucas,Roote,unknown,none,1
Lord Deddings,male,dead,Lord / Lady,unknown,Deddings,unknown,none,1
Lady Deddings,female,dead,Lord / Lady,unknown,Deddings,unknown,none,1
"Joth, Quick-bow",male,dead,Civilian,Joth,unknown,unknown,Quick-bow,1
"Matt, Little Matt",male,dead,Civilian,Matt,unknown,unknown,Little Matt,1
"Ryn, Anvil Ryn",male,dead,Civilian,Ryn,unknown,unknown,Anvil Ryn,1
Ser Ormond,male,dead,Ser,Ormond,unknown,unknown,none,1
Ser Dudley,male,dead,Ser,Dudley,unknown,unknown,none,1
"Pate, Of Mory",male,dead,Civilian,Pate,unknown,unknown,Of Mory,1
"Pate, Of Lancewood",male,dead,Civilian,Pate,unknown,unknown,Of Lancewood,1
"Pate, Of Shermer's Grove",male,dead,Civilian,Pate,unknown,unknown,Of Shermer's Grove,1
"Wyl, Blind Wyl the Whittler",male,dead,Civilian,Wyl,unknown,unknown,Blind Wyl the Whittler,1
Goodwife Maerie,female,dead,Goodwife,Maerie,unknown,unknown,none,1
"Maerie, The Whore",female,dead,Civilian,Maerie,unknown,unknown,The Whore,1
"Becca, The Baker",female,dead,Civilian,Becca,unknown,unknown,The Baker,1
"Will, Fletcher Will",male,dead,Civilian,Will,unknown,unknown,Fletcher Will,1
Harsley,male,dead,Civilian,Harsley,unknown,unknown,none,1
Goodwife Nolla,female,dead,Goodwife,Nolla,unknown,unknown,none,1
Dennet,male,alive,Civilian,Dennet,unknown,unknown,none,1
"Kyle, Of the Brotherhood without Banners",male,dead,Civilian,Kyle,unknown,unknown,Of the Brotherhood without Banners,1
Melly,female,alive,Civilian,Melly,unknown,unknown,none,1
"Daemon I Blackfyre, The Black Dragon, The Pretender",male,dead,Civilian,Daemon,Blackfyre,unknown,"The Black Dragon, The Pretender",1
Ser Terrence Toyne,male,dead,Ser,Terrence,Toyne,unknown,none,1
The Vulture King,male,dead,Civilian,unknown,unknown,unknown,The Vulture King,1
Grand Maester Hareth,male,dead,Grand Maester,Hareth,unknown,unknown,none,1
"Lord Hugh Grandison, Greybeard",male,alive,Lord / Lady,Hugh,Grandison,unknown,Greybeard,1
Lord Cafferen,male,dead,Lord / Lady,unknown,Cafferen,unknown,none,1
Lord Belgrave,male,dead,Lord / Lady,unknown,Belgrave,unknown,none,1
Ser Gilbert Farring,male,alive,Ser,Gilbert,Farring,unknown,none,1
Lord Lester Morrigen,male,alive,Lord / Lady,Lester,Morrigen,unknown,none,1
"Ser Jonothor Darry, Jon",male,dead,Ser,Jonothor,Darry,unknown,Jon,1
Wisdom Belis,male,dead,Wisdom,Belis,unknown,unknown,none,1
Wisdom Garigus,male,dead,Wisdom,Garigus,unknown,unknown,none,1
Lord Qarlton Chelsted,male,dead,Lord / Lady,Qarlton,Chelsted,unknown,none,1
Alys Karstark,female,alive,Civilian,Alys,Karstark,unknown,none,1
"Ser Deziel Dalt, The Knight of Lemonwood",male,alive,Ser,Deziel,Dalt,unknown,The Knight of Lemonwood,1
Lord Tremond Gargalen,male,alive,Lord / Lady,Tremond,Gargalen,unknown,none,1
Lord Harmen Uller,male,alive,Lord / Lady,Harmen,Uller,unknown,none,1
Ser Ulwyck Uller,male,alive,Ser,Ulwyck,Uller,unknown,none,1
Ser Ryon Allyrion,male,alive,Ser,Ryon,Allyrion,unknown,none,1
"Ser Daemon Sand, Bastard of Godsgrace",male,alive,Ser,Daemon,Sand,unknown,Bastard of Godsgrace,1
Lord Dagos Manwoody,male,alive,Lord / Lady,Dagos,Manwoody,unknown,none,1
Ser Myles Manwoody,male,alive,Ser,Myles,Manwoody,unknown,none,1
Mors Manwoody,male,alive,Civilian,Mors,Manwoody,unknown,none,1
Dickon Manwoody,male,alive,Civilian,Dickon,Manwoody,unknown,none,1
Ser Arron Qorgyle,male,alive,Ser,Arron,Qorgyle,unknown,none,1
Myria Jordayne,female,alive,Civilian,Myria,Jordayne,unknown,none,1
Lady Larra Blackmont,female,alive,Lord / Lady,Larra,Blackmont,unknown,none,1
Jynessa Blackmont,female,alive,Civilian,Jynessa,Blackmont,unknown,none,1
Ellaria Sand,female,alive,Civilian,Ellaria,Sand,unknown,none,1
Ser Merlon Crakehall,male,alive,Ser,Merlon,Crakehall,unknown,none,1
Lord Anders Yronwood,male,alive,Lord / Lady,Anders,Yronwood,unknown,none,1
"Leo Tyrell, Longthorn",male,dead,Civilian,Leo,Tyrell,unknown,Longthorn,1
Notch,male,alive,Civilian,Notch,unknown,unknown,none,1
"Dick, Beardless Dick",male,alive,Civilian,Dick,unknown,unknown,Beardless Dick,1
"Watty, The Miller",male,alive,Civilian,Watty,unknown,unknown,The Miller,1
"Merrit, Merrit o' Moontown",male,alive,Civilian,Merrit,unknown,unknown,Merrit o' Moontown,1
Lord Harte,male,dead,Lord / Lady,unknown,Harte,unknown,none,1
Jayde,female,alive,Civilian,Jayde,unknown,unknown,none,1
Puddingfoot,male,alive,Civilian,Puddingfoot,unknown,unknown,none,1
"Luke, Likely Luke",male,alive,Civilian,Luke,unknown,unknown,Likely Luke,1
"Queen Alysanne Targaryen, Good Queen Alysanne",female,dead,King / Queen,Alysanne,Targaryen,unknown,Good Queen Alysanne,1
Big Boil,male,alive,Civilian,Big Boil,unknown,unknown,none,1
"Dan, Hempen Dan",male,alive,Civilian,Dan,unknown,unknown,Hempen Dan,1
"Dick Follard, Deaf Dick Follard",male,dead,Civilian,Dick,Follard,unknown,Deaf Dick Follard,1
Septon Cellador,male,alive,Septon,Cellador,unknown,unknown,none,1
Ser Wynton Stout,male,alive,Ser,Wynton,Stout,unknown,none,1
Quort,male,dead,Civilian,Quort,unknown,unknown,none,1
Bodger,male,dead,Civilian,Bodger,unknown,unknown,none,1
Del,male,dead,Civilian,Del,unknown,unknown,none,1
"Henk, The Helm",male,alive,Civilian,Henk,unknown,unknown,The Helm,1
Toefinger,male,alive,Civilian,Toefinger,unknown,unknown,none,1
Stone Thumbs,male,dead,Civilian,Stone Thumbs,unknown,unknown,none,1
Lenn,male,alive,Civilian,Lenn,unknown,unknown,none,1
Grey Worm,male,alive,Civilian,Grey Worm,unknown,unknown,none,1
Prendahl na Ghezn,male,dead,Civilian,Prendahl,na Ghezn,unknown,none,1
"Sallor, The Bald",male,dead,Civilian,Sallor,unknown,unknown,The Bald,1
Daario Naharis,male,alive,Civilian,Daario,Naharis,unknown,none,1
"Mero, The Titan's Bastard",male,dead,Civilian,Mero,unknown,unknown,The Titan's Bastard,1
Grazdan mo Eraz,male,alive,Civilian,Grazdan,mo Eraz,unknown,none,1
"Gergen, Green Gergen",male,dead,Civilian,Gergen,unknown,unknown,Green Gergen,1
Allyria Dayne,female,alive,Civilian,Allyria,Dayne,unknown,none,1
Lord Lymond Goodbrook,male,alive,Lord / Lady,Lymond,Goodbrook,unknown,none,1
Nage,male,alive,Civilian,Nage,unknown,unknown,none,1
Lord Walderan Tarbeck,male,dead,Lord / Lady,Walderan,Tarbeck,unknown,none,1
"Jenny, Of Oldstones",female,dead,Civilian,Jenny,unknown,unknown,Of Oldstones,1
"King Tristifer IV Mudd, The Hammer of Justice",male,dead,King / Queen,Tristifer,Mudd,unknown,The Hammer of Justice,1
King Tristifer V Mudd,male,dead,King / Queen,Tristifer,Mudd,unknown,none,1
Lord Raymar Royce,male,dead,Lord / Lady,Raymar,Royce,unknown,none,1
Ryles,male,dead,Civilian,Ryles,unknown,unknown,none,1
Lord Roote,male,dead,Lord / Lady,unknown,Roote,unknown,none,1
"King Andahar, Old King Andahar",male,dead,King / Queen,Andahar,unknown,unknown,Old King Andahar,1
"Lew, Left Hand Lew",male,alive,Civilian,Lew,unknown,unknown,Left Hand Lew,1
Maester Brenett,male,alive,Maester,Brenett,unknown,unknown,none,1
Ronnel Stout,male,alive,Civilian,Ronnel,Stout,unknown,none,1
Ser Kyle Condon,male,alive,Ser,Kyle,Condon,unknown,none,1
Sedgekins,male,alive,Civilian,Sedgekins,unknown,unknown,none,1
Ser Gerald Gower,male,alive,Ser,Gerald,Gower,unknown,none,1
Septon Murmison,male,dead,Septon,Murmison,unknown,unknown,none,1
Lord Ambrose Butterwell,male,dead,Lord / Lady,Ambrose,Butterwell,unknown,none,1
Myles Smallwood,male,dead,Civilian,Myles,Smallwood,unknown,none,1
Ser Otto Hightower,male,dead,Ser,Otto,Hightower,unknown,none,1
"Baelor Targaryen, Breakspear",male,dead,Civilian,Baelor,Targaryen,unknown,Breakspear,1
Septon Barth,male,dead,Septon,Barth,unknown,unknown,none,1
Lord Fell,male,dead,Lord / Lady,unknown,Fell,unknown,none,1
Silveraxe,male,dead,Civilian,Silveraxe,unknown,unknown,none,1
"Roro Uhoris, Blind Bastard",male,dead,Civilian,Roro,Uhoris,unknown,Blind Bastard,1
Mully,male,alive,Civilian,Mully,unknown,unknown,none,1
Satin,male,alive,Civilian,Satin,unknown,unknown,none,1
Lord Commander Runcel Hightower,male,dead, Commander,Runcel,Hightower,unknown,none,1
Lord Commander Rodrik Flint,male,dead, Commander,Rodrik,Flint,unknown,none,1
Lord Commander Tristan Mudd,male,dead, Commander,Tristan,Mudd,unknown,none,1
"Lord Commander Marq Rankenfell, Mad Marq Rankenfell",male,dead, Commander,Marq,Rankenfell,unknown,Mad Marq Rankenfell,1
Lord Commander Robin Hill,male,dead, Commander,Robin,Hill,unknown,none,1
"Su, Sky Blue Su",female,alive,Civilian,Su,unknown,unknown,Sky Blue Su,1
"Meliana, Lady Meliana",female,alive,Civilian,Meliana,unknown,unknown,Lady Meliana,1
Kegs,male,alive,Civilian,Kegs,unknown,unknown,none,1
Spare Boot,male,alive,Civilian,Spare Boot,unknown,unknown,none,1
Easy,male,dead,Civilian,Easy,unknown,unknown,none,1
"Dilly, Dornish Dilly",female,dead,Civilian,Dilly,unknown,unknown,Dornish Dilly,1
"Alyn, Red Alyn of the Rosewood",male,dead,Civilian,Alyn,unknown,unknown,Red Alyn of the Rosewood,1
"Henly, Young Henly",male,dead,Civilian,Henly,unknown,unknown,Young Henly,1
"Henly, Old Henly",male,dead,Civilian,Henly,unknown,unknown,Old Henly,1
"Pate, Spotted Pate of Maidenpool",male,dead,Civilian,Pate,unknown,unknown,Spotted Pate of Maidenpool,1
"Owen, The Oaf",male,alive,Civilian,Owen,unknown,unknown,The Oaf,1
The Night's King,male,dead,Civilian,unknown,unknown,unknown,The Night's King,1
The Rat Cook,male,dead,Civilian,unknown,unknown,unknown,The Rat Cook,1
Danny Flint,male,dead,Civilian,Danny,Flint,unknown,none,1
King Sherrit,male,dead,King / Queen,Sherrit,unknown,unknown,none,1
Mad Axe,male,dead,Civilian,Mad Axe,unknown,unknown,none,1
Lord Rodrik Ryswell,male,alive,Lord / Lady,Rodrik,Ryswell,unknown,none,1
Oznak zo Pahl,male,dead,Civilian,Oznak,zo Pahl,unknown,none,1
"Ben Plumm, Brown Ben Plumm",male,alive,Civilian,Ben,Plumm,unknown,Brown Ben Plumm,1
Scarb,male,dead,Civilian,Scarb,unknown,unknown,none,1
Brella,female,alive,Civilian,Brella,unknown,unknown,none,1
Grand Maester Kaeth,male,dead,Grand Maester,Kaeth,unknown,unknown,none,1
"Bessa, The Barmaid",female,dead,Civilian,Bessa,unknown,unknown,The Barmaid,1
Lord Ralph Buckler,male,alive,Lord / Lady,Ralph,Buckler,unknown,none,1
Oswell Kettleblack,male,alive,Civilian,Oswell,Kettleblack,unknown,none,1
Ser Bertram Beesbury,male,alive,Ser,Bertram,Beesbury,unknown,none,1
Samwell Spicer,male,alive,Civilian,Samwell,Spicer,unknown,none,1
Dennis Plumm,male,alive,Civilian,Dennis,Plumm,unknown,none,1
"Harwyn Plumm, Hardstone",male,alive,Civilian,Harwyn,Plumm,unknown,Hardstone,1
Peter Plumm,male,alive,Civilian,Peter,Plumm,unknown,none,1
"Lewys, The Fishwife",male,alive,Civilian,Lewys,unknown,unknown,The Fishwife,1
"Ser Triston, Of Tally Hill",male,alive,Ser,Triston,unknown,unknown,Of Tally Hill,1
Omer Blackberry,male,alive,Civilian,Omer,Blackberry,unknown,none,1
"Ser Rolland Storm, The Bastard of Nightsong",male,dead,Ser,Rolland,Storm,unknown,The Bastard of Nightsong,1
"Hareth, Horse",male,alive,Civilian,Hareth,unknown,unknown,Horse,1
Zei,female,dead,Civilian,Zei,unknown,unknown,none,1
Arron,male,alive,Civilian,Arron,unknown,unknown,none,1
Emrick,male,alive,Civilian,Emrick,unknown,unknown,none,1
The Demon of Darry,unknown,dead, Commander,unknown,unknown,unknown,The Demon of Darry,1
"Ser Duncan, The Tall",male,dead,Ser,Duncan,unknown,unknown,The Tall,1
"Lord Commander Alyn Connington, Pale Griffin",male,dead, Commander,Alyn,Connington,unknown,Pale Griffin,1
"Prince Duncan Targaryen, The Prince of Dragonflies",male,dead,Prince,Duncan,Targaryen,unknown,The Prince of Dragonflies,1
"Maelys I Blackfyre, Maelys the Monstrous",male,dead,Civilian,Maelys,Blackfyre,unknown,Maelys the Monstrous,1
"Lormelle, Long Lance",male,dead,Civilian,Lormelle,unknown,unknown,Long Lance,1
"Cedrik Storm, Bastard of Bronzegate",male,dead,Civilian,Cedrik,Storm,unknown,Bastard of Bronzegate,1
Ser Gwayne Gaunt,male,dead,Ser,Gwayne,Gaunt,unknown,none,1
Lady Jeyne Swann,female,dead,Lord / Lady,Jeyne,Swann,unknown,none,1
The Smiling Knight,male,dead,Civilian,unknown,unknown,unknown,The Smiling Knight,1
Blackshield/The Bastard of Uplands,male,dead,Civilian,unknown,unknown,unknown,Blackshield/The Bastard of Uplands,1
Ser Robert Stone,male,dead,Ser,Robert,Stone,unknown,none,1
Ser Elwood Harte,male,alive,Ser,Elwood,Harte,unknown,none,1
Kella,female,alive,Civilian,Kella,unknown,unknown,none,1
Bryen,male,alive,Civilian,Bryen,unknown,unknown,none,1
Grisel,female,alive,Civilian,Grisel,unknown,unknown,none,1
Umfred,male,alive,Civilian,Umfred,unknown,unknown,none,1
Lord Lyonel Corbray,male,alive,Lord / Lady,Lyonel,Corbray,unknown,none,1
"Watt, Of Long Lake",male,dead,Civilian,Watt,unknown,unknown,Of Long Lake,1
Tumberjon,male,dead,Civilian,Tumberjon,unknown,unknown,none,1
"Tim, Tangletongue",male,alive,Civilian,Tim,unknown,unknown,Tangletongue,1
Ser Glendon Hewett,male,alive,Ser,Glendon,Hewett,unknown,none,1
"Baelor Hightower, Breakwind, Brightsmile",male,alive,Civilian,Baelor,Hightower,unknown,"Breakwind, Brightsmile",1
Ghael,male,alive,Civilian,Ghael,unknown,unknown,none,1
"King Cleon, The Butcher King",male,dead,King / Queen,Cleon,unknown,unknown,The Butcher King,1
Septa Donyse,female,alive,Septa,Donyse,unknown,unknown,none,1
"Torwynd, The Tame",male,dead,Civilian,Torwynd,unknown,unknown,The Tame,1
Quenn,male,dead,Civilian,Quenn,unknown,unknown,none,1
Hop-Robin,male,alive,Civilian,Hop-Robin,unknown,unknown,none,1
Lum,male,alive,Civilian,Lum,unknown,unknown,none,1
"Lester, Red Lester",male,alive,Civilian,Lester,unknown,unknown,Red Lester,1
Maester Harmune,male,alive,Maester,Harmune,unknown,unknown,none,1
"Emmett, Iron Emmett",male,alive,Civilian,Emmett,unknown,unknown,Iron Emmett,1
Ser Garse Goodbrook,male,dead,Ser,Garse,Goodbrook,unknown,none,1
Jothos Slynt,male,alive,Civilian,Jothos,Slynt,unknown,none,1
Danos Slynt,male,alive,Civilian,Danos,Slynt,unknown,none,1
"Alesander Staedmon, Pennylover",male,alive,Civilian,Alesander,Staedmon,unknown,Pennylover,1
Togg Joth,male,dead,Civilian,Togg,Joth,unknown,none,1
Pyg,male,dead,Civilian,Pyg,unknown,unknown,none,1
Three Toes,male,dead,Civilian,Three Toes,unknown,unknown,none,1
Jonelle Cerwyn,female,alive,Civilian,Jonelle,Cerwyn,unknown,none,1
Lord Monterys Velaryon,male,alive,Lord / Lady,Monterys,Velaryon,unknown,none,1
Cadwyle,male,alive,Civilian,Cadwyle,unknown,unknown,none,1
Lord Triston Farwynd,male,alive,Lord / Lady,Triston,Farwynd,unknown,none,1
Lord Maron Volmark,male,alive,Lord / Lady,Maron,Volmark,unknown,none,1
Lord Myre,male,alive,Lord / Lady,unknown,Myre,unknown,none,1
Lord Stonetree,male,alive,Lord / Lady,unknown,Stonetree,unknown,none,1
"Lord Alyn Orkwood, Orkwood of Orkmont",male,alive,Lord / Lady,Alyn,Orkwood,unknown,Orkwood of Orkmont,1
Lord Balon Tawney,male,alive,Lord / Lady,Balon,Tawney,unknown,none,1
"Jeyne Frey (Darry), Wife of Ser Cleos",female,alive,Civilian,Jeyne,Frey,Darry,Wife of Ser Cleos,1
Ser Lyonel Frey,male,alive,Ser,Lyonel,Frey,unknown,none,1
Ser Damion Lannister,male,alive,Ser,Damion,Lannister,unknown,none,1
Lady Shiera Lannister (Crakehall),female,alive,Lord / Lady,Shiera,Lannister,Crakehall,none,1
Ser Lucion Lannister,male,alive,Ser,Lucion,Lannister,unknown,none,1
Lanna Jast (Lannister),female,alive,Civilian,Lanna,Jast,Lannister,none,1
Margot Peake (Lannister),female,alive,Civilian,Margot,Peake,Lannister,none,1
Lord Titus Peake,male,alive,Lord / Lady,Titus,Peake,unknown,none,1
Ser Benedict Broom,male,alive,Ser,Benedict,Broom,unknown,none,1
Lord Damon Marbrand,male,alive,Lord / Lady,Damon,Marbrand,unknown,none,1
Ser Tybolt Crakehall,male,alive,Ser,Tybolt,Crakehall,unknown,none,1
"Ser Lyle Crakehall, Strongboar",male,alive,Ser,Lyle,Crakehall,unknown,Strongboar,1
Lord Philip Plumm,male,alive,Lord / Lady,Philip,Plumm,unknown,none,1
Ser Steffon Swyft,male,alive,Ser,Steffon,Swyft,unknown,none,1
Joanna Swyft,female,alive,Civilian,Joanna,Swyft,unknown,none,1
Shierle Sarsfield (Swyft),female,alive,Civilian,Shierle,Sarsfield,Swyft,none,1
Lord Selmond Stackspear,male,alive,Lord / Lady,Selmond,Stackspear,unknown,none,1
Ser Steffon Stackspear,male,alive,Ser,Steffon,Stackspear,unknown,none,1
Lord Terrence Kenning,male,alive,Lord / Lady,Terrence,Kenning,unknown,none,1
Obara Sand,female,alive,Civilian,Obara,Sand,unknown,none,1
"Nymeria Sand, Nym",female,alive,Civilian,Nymeria,Sand,unknown,Nym,1
Tyene Sand,female,alive,Civilian,Tyene,Sand,unknown,none,1
Sarella Sand,female,alive,Civilian,Sarella,Sand,unknown,none,1
Elia Sand,female,alive,Civilian,Elia,Sand,unknown,none,1
Obella Sand,female,alive,Civilian,Obella,Sand,unknown,none,1
Dorea Sand,female,alive,Civilian,Dorea,Sand,unknown,none,1
Loreza Sand,female,alive,Civilian,Loreza,Sand,unknown,none,1
Perros Blackmont,male,alive,Civilian,Perros,Blackmont,unknown,none,1
Lady Delonne Allyrion,female,alive,Lord / Lady,Delonne,Allyrion,unknown,none,1
Lady Nymella Toland,female,alive,Lord / Lady,Nymella,Toland,unknown,none,1
"Ser Ronald Vance, The Bad",male,alive,Ser,Ronald,Vance,unknown,The Bad,1
Ser Hugo Vance,male,alive,Ser,Hugo,Vance,unknown,none,1
Ser Ellery Vance,male,alive,Ser,Ellery,Vance,unknown,none,1
Kirth Vance,male,alive,Civilian,Kirth,Vance,unknown,none,1
Ser Robert Paege,male,alive,Ser,Robert,Paege,unknown,none,1
Tristan Ryger,male,alive,Civilian,Tristan,Ryger,unknown,none,1
Lord Norbert Vance,male,alive,Lord / Lady,Norbert,Vance,unknown,none,1
Lord Theomar Smallwood,male,alive,Lord / Lady,Theomar,Smallwood,unknown,none,1
King Mern IX Gardener,male,dead,King / Queen,Mern,Gardener,unknown,none,1
"Ser Luthor Tyrell, Son of Moryn",male,dead,Ser,Luthor,Tyrell,unknown,Son of Moryn,1
Lady Elyn Tyrell (Norridge),female,alive,Lord / Lady,Elyn,Tyrell,Norridge,none,1
Ser Theodore Tyrell,male,alive,Ser,Theodore,Tyrell,unknown,none,1
Lady Lia Tyrell (Serry),female,alive,Lord / Lady,Lia,Tyrell,Serry,none,1
"Luthor Tyrell, Son of Theodore",male,alive,Civilian,Luthor,Tyrell,unknown,Son of Theodore,1
Maester Medwick (Tyrell),male,alive,Maester,Medwick,unknown,Tyrell,none,1
Olene Blackbar (Tyrell),female,alive,Civilian,Olene,Blackbar,Tyrell,none,1
Ser Leo Blackbar,male,alive,Ser,Leo,Blackbar,unknown,none,1
"Leo Tyrell, Leo the Lazy, Son of Moryn",male,alive,Civilian,Leo,Tyrell,unknown,"Leo the Lazy, Son of Moryn",1
Ser Quentin Tyrell,male,alive,Ser,Quentin,Tyrell,unknown,none,1
Ser Olymer Tyrell,male,alive,Ser,Olymer,Tyrell,unknown,none,1
Lady Lysa Tyrell (Meadows),female,alive,Lord / Lady,Lysa,Tyrell,Meadows,none,1
Raymund Tyrell,male,alive,Civilian,Raymund,Tyrell,unknown,none,1
Rickard Tyrell,male,alive,Civilian,Rickard,Tyrell,unknown,none,1
Maester Normund (Tyrell),male,alive,Maester,Normund,unknown,Tyrell,none,1
Ser Victor Tyrell,male,dead,Ser,Victor,Tyrell,unknown,none,1
Victaria Bulwer,female,alive,Civilian,Victaria,Bulwer,unknown,none,1
Lord Jon Bulwer,male,dead,Lord / Lady,Jon,Bulwer,unknown,none,1
"Ser Leo Tyrell, Son of Victor",male,alive,Ser,Leo,Tyrell,unknown,Son of Victor,1
Lady Alys Beesbury,female,alive,Lord / Lady,Alys,Beesbury,unknown,none,1
Leona Tyrell,female,alive,Civilian,Leona,Tyrell,unknown,none,1
"Lyonel Tyrell, Son of Leo",male,alive,Civilian,Lyonel,Tyrell,unknown,Son of Leo,1
Lucas Tyrell,male,alive,Civilian,Lucas,Tyrell,unknown,none,1
Lorent Tyrell,male,alive,Civilian,Lorent,Tyrell,unknown,none,1
Orton Merryweather,male,alive,Civilian,Orton,Merryweather,unknown,none,1
"Ebben, Eggen",male,dead,Civilian,Ebben,unknown,unknown,Eggen,1
"Hal, Hairy Hal",male,dead,Civilian,Hal,unknown,unknown,Hairy Hal,1
"Jack Bulwer, Black Jack Bulwer",male,dead,Civilian,Jack,Bulwer,unknown,Black Jack Bulwer,1
Wallace Massey,male,alive,Civilian,Wallace,Massey,unknown,none,1
Dennett,male,alive,Civilian,Dennett,unknown,unknown,none,1
Maester Roone,male,alive,Maester,Roone,unknown,unknown,none,1
"Dryn, Son of Tormund",male,alive,Civilian,Dryn,unknown,unknown,Son of Tormund,1
Mollander,male,alive,Civilian,Mollander,unknown,unknown,none,1
"Alleras, The Sphinx",male,alive,Civilian,Alleras,unknown,unknown,The Sphinx,1
Roone,male,alive,Civilian,Roone,unknown,unknown,none,1
Rosey,female,alive,Civilian,Rosey,unknown,unknown,none,1
"Pate, Novice of Oldtown",male,dead,Civilian,Pate,unknown,unknown,Novice of Oldtown,1
Emma,female,alive,Civilian,Emma,unknown,unknown,none,1
"Armen, The Acolyte",male,alive,Civilian,Armen,unknown,unknown,The Acolyte,1
Archmaester Ebrose,male,alive,Archmaester,Ebrose,unknown,unknown,none,1
Archmaester Walgrave,male,alive,Archmaester,Walgrave,unknown,unknown,none,1
Archmaester Benedict,male,alive,Archmaester,Benedict,unknown,unknown,none,1
"Archmaester Vaellyn, Vinegar Vaellyn",male,alive,Archmaester,Vaellyn,unknown,unknown,Vinegar Vaellyn,1
Archmaester Perestan,male,alive,Archmaester,Perestan,unknown,unknown,none,1
Mollos,male,alive,Civilian,Mollos,unknown,unknown,none,1
Archmaester Ryam,male,alive,Archmaester,Ryam,unknown,unknown,none,1
Emmond,male,alive,Civilian,Emmond,unknown,unknown,none,1
Steffarion Sparr,male,alive,Civilian,Steffarion,Sparr,unknown,none,1
Greydon Goodbrother,male,alive,Civilian,Greydon,Goodbrother,unknown,none,1
Gormond Goodbrother,male,alive,Civilian,Gormond,Goodbrother,unknown,none,1
Gran Goodbrother,male,alive,Civilian,Gran,Goodbrother,unknown,none,1
Norjen,male,alive,Civilian,Norjen,unknown,unknown,none,1
Rus,male,alive,Civilian,Rus,unknown,unknown,none,1
"Tarle, The Thrice-Drowned",male,alive,Civilian,Tarle,unknown,unknown,The Thrice-Drowned,1
Lord Quellon Greyjoy,male,dead,Lord / Lady,Quellon,Greyjoy,unknown,none,1
Harlon Greyjoy,male,dead,Civilian,Harlon,Greyjoy,unknown,none,1
Lady Greyjoy (Stonetree),female,dead,Lord / Lady,unknown,Greyjoy,Stonetree,none,1
Donel Greyjoy,male,dead,Civilian,Donel,Greyjoy,unknown,none,1
"Urrigon Greyjoy, Urri",male,dead,Civilian,Urrigon,Greyjoy,unknown,Urri,1
Lady Greyjoy (Sunderly),female,dead,Lord / Lady,unknown,Greyjoy,Sunderly,none,1
Robin Greyjoy,male,dead,Civilian,Robin,Greyjoy,unknown,none,1
Gysella Goodbrother,female,alive,Civilian,Gysella,Goodbrother,unknown,none,1
Gwin Goodbrother,female,alive,Civilian,Gwin,Goodbrother,unknown,none,1
Maester Murenmure,male,alive,Maester,Murenmure,unknown,unknown,none,1
Lady Greyjoy (Piper),female,dead,Lord / Lady,unknown,Greyjoy,Piper,none,1
King Urras Ironfoot,male,dead,King / Queen,Urras,Ironfoot,unknown,none,1
King Sylas Flatnose,male,dead,King / Queen,Sylas,Flatnose,unknown,none,1
King Harrag Hoare,male,dead,King / Queen,Harrag,Hoare,unknown,none,1
Olyvar Martell,male,dead,Civilian,Olyvar,Martell,unknown,none,1
Jeyne Fowler,female,alive,Civilian,Jeyne,Fowler,unknown,none,1
Jennelyn Fowler,female,alive,Civilian,Jennelyn,Fowler,unknown,none,1
Ricasso,male,alive,Civilian,Ricasso,unknown,unknown,none,1
Ser Manfrey Martell,male,alive,Ser,Manfrey,Martell,unknown,none,1
Maester Myles,male,alive,Maester,Myles,unknown,unknown,none,1
Senelle,female,dead,Civilian,Senelle,unknown,unknown,none,1
Jocelyn Swyft,female,alive,Civilian,Jocelyn,Swyft,unknown,none,1
Puckens,male,alive,Civilian,Puckens,unknown,unknown,none,1
Shortear,male,alive,Civilian,Shortear,unknown,unknown,none,1
Rugen,male,dead,Civilian,Rugen,unknown,unknown,none,1
"Ser Illifer, The Penniless",male,alive,Ser,Illifer,unknown,unknown,The Penniless,1
Ser Creighton Longbough,male,alive,Ser,Creighton,Longbough,unknown,none,1
Ser Herbert Bolling,male,dead,Ser,Herbert,Bolling,unknown,none,1
"Lord Lucas Lothston, The Pander",male,dead,Lord / Lady,Lucas,Lothston,unknown,The Pander,1
Manfryd Lothston,male,dead,Civilian,Manfryd,Lothston,unknown,none,1
"Ser Shadrich, Of the Shady Glen/The Mad Mouse",male,alive,Ser,Shadrich,unknown,unknown,Of the Shady Glen/The Mad Mouse,1
Hibald,male,alive,Civilian,Hibald,unknown,unknown,none,1
Naggle,male,alive,Civilian,Naggle,unknown,unknown,none,1
"Ser Galladon, Of Morne",male,unknown,Ser,Galladon,unknown,unknown,Of Morne,1
Septon Jorquen,male,dead,Septon,Jorquen,unknown,unknown,none,1
